"GEO","DAYSWEEK","SEX","ACL00","Value"
"Belgium","All days of the week","Total","Total","1440"
"Belgium","All days of the week","Total","Personal care","667"
"Belgium","All days of the week","Total","Sleep","510"
"Belgium","All days of the week","Total","Eating","104"
"Belgium","All days of the week","Total","Other and/or unspecified personal care","53"
"Belgium","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","149"
"Belgium","All days of the week","Total","Main and second job and related travel","143"
"Belgium","All days of the week","Total","Activities related to employment and unspecified employment","6"
"Belgium","All days of the week","Total","Study","18"
"Belgium","All days of the week","Total","School and university except homework","9"
"Belgium","All days of the week","Total","Homework","7"
"Belgium","All days of the week","Total","Free time study","2"
"Belgium","All days of the week","Total","Household and family care","192"
"Belgium","All days of the week","Total","Food management except dish washing","35"
"Belgium","All days of the week","Total","Dish washing","17"
"Belgium","All days of the week","Total","Cleaning dwelling","13"
"Belgium","All days of the week","Total","Household upkeep except cleaning dwelling","27"
"Belgium","All days of the week","Total","Laundry","5"
"Belgium","All days of the week","Total","Ironing","9"
"Belgium","All days of the week","Total","Handicraft and producing textiles and other care for textiles","2"
"Belgium","All days of the week","Total","Gardening; other pet care","11"
"Belgium","All days of the week","Total","Tending domestic animals","2"
"Belgium","All days of the week","Total","Caring for pets","3"
"Belgium","All days of the week","Total","Walking the dog","5"
"Belgium","All days of the week","Total","Construction and repairs ","9"
"Belgium","All days of the week","Total","Shopping and services","32"
"Belgium","All days of the week","Total","Childcare, except teaching, reading and talking","13"
"Belgium","All days of the week","Total","Teaching, reading and talking with child","7"
"Belgium","All days of the week","Total","Household management and help family member","5"
"Belgium","All days of the week","Total","Leisure, social and associative life","333"
"Belgium","All days of the week","Total","Organisational work","3"
"Belgium","All days of the week","Total","Informal help to other households","4"
"Belgium","All days of the week","Total","Participatory activities","3"
"Belgium","All days of the week","Total","Visiting and feasts","33"
"Belgium","All days of the week","Total","Other social life","18"
"Belgium","All days of the week","Total","Entertainment and culture","14"
"Belgium","All days of the week","Total","Resting","25"
"Belgium","All days of the week","Total","Walking and hiking","9"
"Belgium","All days of the week","Total","Sports and outdoor activities except walking and hiking","12"
"Belgium","All days of the week","Total","Computer games","4"
"Belgium","All days of the week","Total","Computing","26"
"Belgium","All days of the week","Total","Hobbies and games except computing and computer games","15"
"Belgium","All days of the week","Total","Reading books","6"
"Belgium","All days of the week","Total","Reading, except books","14"
"Belgium","All days of the week","Total","TV and video","145"
"Belgium","All days of the week","Total","Radio and music","2"
"Belgium","All days of the week","Total","Unspecified leisure ","0"
"Belgium","All days of the week","Total","Travel except travel related to jobs","81"
"Belgium","All days of the week","Total","Travel to/from work","19"
"Belgium","All days of the week","Total","Travel related to study","2"
"Belgium","All days of the week","Total","Travel related to shopping and services","13"
"Belgium","All days of the week","Total","Transporting a child","2"
"Belgium","All days of the week","Total","Travel related to other household purposes","2"
"Belgium","All days of the week","Total","Travel related to leisure, social and associative life","38"
"Belgium","All days of the week","Total","Unspecified travel","2"
"Belgium","All days of the week","Total","Unspecified time use","5"
"Belgium","All days of the week","Males","Total","1440"
"Belgium","All days of the week","Males","Personal care","652"
"Belgium","All days of the week","Males","Sleep","502"
"Belgium","All days of the week","Males","Eating","103"
"Belgium","All days of the week","Males","Other and/or unspecified personal care","48"
"Belgium","All days of the week","Males","Employment, related activities and travel as part of/during main and second job","182"
"Belgium","All days of the week","Males","Main and second job and related travel","175"
"Belgium","All days of the week","Males","Activities related to employment and unspecified employment","7"
"Belgium","All days of the week","Males","Study","17"
"Belgium","All days of the week","Males","School and university except homework","8"
"Belgium","All days of the week","Males","Homework","6"
"Belgium","All days of the week","Males","Free time study","2"
"Belgium","All days of the week","Males","Household and family care","144"
"Belgium","All days of the week","Males","Food management except dish washing","20"
"Belgium","All days of the week","Males","Dish washing","12"
"Belgium","All days of the week","Males","Cleaning dwelling","6"
"Belgium","All days of the week","Males","Household upkeep except cleaning dwelling","18"
"Belgium","All days of the week","Males","Laundry","1"
"Belgium","All days of the week","Males","Ironing","2"
"Belgium","All days of the week","Males","Handicraft and producing textiles and other care for textiles","0"
"Belgium","All days of the week","Males","Gardening; other pet care","16"
"Belgium","All days of the week","Males","Tending domestic animals","3"
"Belgium","All days of the week","Males","Caring for pets","2"
"Belgium","All days of the week","Males","Walking the dog","5"
"Belgium","All days of the week","Males","Construction and repairs ","15"
"Belgium","All days of the week","Males","Shopping and services","26"
"Belgium","All days of the week","Males","Childcare, except teaching, reading and talking","8"
"Belgium","All days of the week","Males","Teaching, reading and talking with child","6"
"Belgium","All days of the week","Males","Household management and help family member","5"
"Belgium","All days of the week","Males","Leisure, social and associative life","362"
"Belgium","All days of the week","Males","Organisational work","5"
"Belgium","All days of the week","Males","Informal help to other households","4"
"Belgium","All days of the week","Males","Participatory activities","4"
"Belgium","All days of the week","Males","Visiting and feasts","30"
"Belgium","All days of the week","Males","Other social life","16"
"Belgium","All days of the week","Males","Entertainment and culture","16"
"Belgium","All days of the week","Males","Resting","25"
"Belgium","All days of the week","Males","Walking and hiking","8"
"Belgium","All days of the week","Males","Sports and outdoor activities except walking and hiking","18"
"Belgium","All days of the week","Males","Computer games","6"
"Belgium","All days of the week","Males","Computing","33"
"Belgium","All days of the week","Males","Hobbies and games except computing and computer games","16"
"Belgium","All days of the week","Males","Reading books","5"
"Belgium","All days of the week","Males","Reading, except books","16"
"Belgium","All days of the week","Males","TV and video","156"
"Belgium","All days of the week","Males","Radio and music","3"
"Belgium","All days of the week","Males","Unspecified leisure ","0"
"Belgium","All days of the week","Males","Travel except travel related to jobs","83"
"Belgium","All days of the week","Males","Travel to/from work","22"
"Belgium","All days of the week","Males","Travel related to study","2"
"Belgium","All days of the week","Males","Travel related to shopping and services","12"
"Belgium","All days of the week","Males","Transporting a child","1"
"Belgium","All days of the week","Males","Travel related to other household purposes","2"
"Belgium","All days of the week","Males","Travel related to leisure, social and associative life","37"
"Belgium","All days of the week","Males","Unspecified travel","2"
"Belgium","All days of the week","Males","Unspecified time use","5"
"Belgium","All days of the week","Females","Total","1440"
"Belgium","All days of the week","Females","Personal care","680"
"Belgium","All days of the week","Females","Sleep","517"
"Belgium","All days of the week","Females","Eating","106"
"Belgium","All days of the week","Females","Other and/or unspecified personal care","57"
"Belgium","All days of the week","Females","Employment, related activities and travel as part of/during main and second job","118"
"Belgium","All days of the week","Females","Main and second job and related travel","113"
"Belgium","All days of the week","Females","Activities related to employment and unspecified employment","5"
"Belgium","All days of the week","Females","Study","19"
"Belgium","All days of the week","Females","School and university except homework","9"
"Belgium","All days of the week","Females","Homework","7"
"Belgium","All days of the week","Females","Free time study","3"
"Belgium","All days of the week","Females","Household and family care","238"
"Belgium","All days of the week","Females","Food management except dish washing","48"
"Belgium","All days of the week","Females","Dish washing","22"
"Belgium","All days of the week","Females","Cleaning dwelling","19"
"Belgium","All days of the week","Females","Household upkeep except cleaning dwelling","34"
"Belgium","All days of the week","Females","Laundry","8"
"Belgium","All days of the week","Females","Ironing","15"
"Belgium","All days of the week","Females","Handicraft and producing textiles and other care for textiles","3"
"Belgium","All days of the week","Females","Gardening; other pet care","6"
"Belgium","All days of the week","Females","Tending domestic animals","1"
"Belgium","All days of the week","Females","Caring for pets","3"
"Belgium","All days of the week","Females","Walking the dog","4"
"Belgium","All days of the week","Females","Construction and repairs ","3"
"Belgium","All days of the week","Females","Shopping and services","37"
"Belgium","All days of the week","Females","Childcare, except teaching, reading and talking","18"
"Belgium","All days of the week","Females","Teaching, reading and talking with child","8"
"Belgium","All days of the week","Females","Household management and help family member","5"
"Belgium","All days of the week","Females","Leisure, social and associative life","306"
"Belgium","All days of the week","Females","Organisational work","2"
"Belgium","All days of the week","Females","Informal help to other households","4"
"Belgium","All days of the week","Females","Participatory activities","3"
"Belgium","All days of the week","Females","Visiting and feasts","35"
"Belgium","All days of the week","Females","Other social life","20"
"Belgium","All days of the week","Females","Entertainment and culture","13"
"Belgium","All days of the week","Females","Resting","24"
"Belgium","All days of the week","Females","Walking and hiking","9"
"Belgium","All days of the week","Females","Sports and outdoor activities except walking and hiking","7"
"Belgium","All days of the week","Females","Computer games","2"
"Belgium","All days of the week","Females","Computing","19"
"Belgium","All days of the week","Females","Hobbies and games except computing and computer games","13"
"Belgium","All days of the week","Females","Reading books","7"
"Belgium","All days of the week","Females","Reading, except books","13"
"Belgium","All days of the week","Females","TV and video","134"
"Belgium","All days of the week","Females","Radio and music","1"
"Belgium","All days of the week","Females","Unspecified leisure ","0"
"Belgium","All days of the week","Females","Travel except travel related to jobs","80"
"Belgium","All days of the week","Females","Travel to/from work","16"
"Belgium","All days of the week","Females","Travel related to study","3"
"Belgium","All days of the week","Females","Travel related to shopping and services","13"
"Belgium","All days of the week","Females","Transporting a child","2"
"Belgium","All days of the week","Females","Travel related to other household purposes","1"
"Belgium","All days of the week","Females","Travel related to leisure, social and associative life","38"
"Belgium","All days of the week","Females","Unspecified travel","1"
"Belgium","All days of the week","Females","Unspecified time use","5"
"Belgium","Monday to Friday","Total","Total","1440"
"Belgium","Monday to Friday","Total","Personal care","644"
"Belgium","Monday to Friday","Total","Sleep","496"
"Belgium","Monday to Friday","Total","Eating","97"
"Belgium","Monday to Friday","Total","Other and/or unspecified personal care","52"
"Belgium","Monday to Friday","Total","Employment, related activities and travel as part of/during main and second job","192"
"Belgium","Monday to Friday","Total","Main and second job and related travel","184"
"Belgium","Monday to Friday","Total","Activities related to employment and unspecified employment","8"
"Belgium","Monday to Friday","Total","Study","21"
"Belgium","Monday to Friday","Total","School and university except homework","11"
"Belgium","Monday to Friday","Total","Homework","6"
"Belgium","Monday to Friday","Total","Free time study","3"
"Belgium","Monday to Friday","Total","Household and family care","191"
"Belgium","Monday to Friday","Total","Food management except dish washing","35"
"Belgium","Monday to Friday","Total","Dish washing","17"
"Belgium","Monday to Friday","Total","Cleaning dwelling","13"
"Belgium","Monday to Friday","Total","Household upkeep except cleaning dwelling","26"
"Belgium","Monday to Friday","Total","Laundry","4"
"Belgium","Monday to Friday","Total","Ironing","9"
"Belgium","Monday to Friday","Total","Handicraft and producing textiles and other care for textiles","2"
"Belgium","Monday to Friday","Total","Gardening; other pet care","11"
"Belgium","Monday to Friday","Total","Tending domestic animals","2"
"Belgium","Monday to Friday","Total","Caring for pets","3"
"Belgium","Monday to Friday","Total","Walking the dog","5"
"Belgium","Monday to Friday","Total","Construction and repairs ","8"
"Belgium","Monday to Friday","Total","Shopping and services","31"
"Belgium","Monday to Friday","Total","Childcare, except teaching, reading and talking","14"
"Belgium","Monday to Friday","Total","Teaching, reading and talking with child","7"
"Belgium","Monday to Friday","Total","Household management and help family member","6"
"Belgium","Monday to Friday","Total","Leisure, social and associative life","308"
"Belgium","Monday to Friday","Total","Organisational work","3"
"Belgium","Monday to Friday","Total","Informal help to other households","4"
"Belgium","Monday to Friday","Total","Participatory activities","3"
"Belgium","Monday to Friday","Total","Visiting and feasts","24"
"Belgium","Monday to Friday","Total","Other social life","17"
"Belgium","Monday to Friday","Total","Entertainment and culture","10"
"Belgium","Monday to Friday","Total","Resting","24"
"Belgium","Monday to Friday","Total","Walking and hiking","7"
"Belgium","Monday to Friday","Total","Sports and outdoor activities except walking and hiking","11"
"Belgium","Monday to Friday","Total","Computer games","3"
"Belgium","Monday to Friday","Total","Computing","26"
"Belgium","Monday to Friday","Total","Hobbies and games except computing and computer games","14"
"Belgium","Monday to Friday","Total","Reading books","6"
"Belgium","Monday to Friday","Total","Reading, except books","14"
"Belgium","Monday to Friday","Total","TV and video","139"
"Belgium","Monday to Friday","Total","Radio and music","2"
"Belgium","Monday to Friday","Total","Unspecified leisure ","0"
"Belgium","Monday to Friday","Total","Travel except travel related to jobs","84"
"Belgium","Monday to Friday","Total","Travel to/from work","25"
"Belgium","Monday to Friday","Total","Travel related to study","3"
"Belgium","Monday to Friday","Total","Travel related to shopping and services","12"
"Belgium","Monday to Friday","Total","Transporting a child","2"
"Belgium","Monday to Friday","Total","Travel related to other household purposes","2"
"Belgium","Monday to Friday","Total","Travel related to leisure, social and associative life","34"
"Belgium","Monday to Friday","Total","Unspecified travel","2"
"Belgium","Monday to Friday","Total","Unspecified time use","5"
"Belgium","Monday to Friday","Males","Total","1440"
"Belgium","Monday to Friday","Males","Personal care","628"
"Belgium","Monday to Friday","Males","Sleep","486"
"Belgium","Monday to Friday","Males","Eating","94"
"Belgium","Monday to Friday","Males","Other and/or unspecified personal care","47"
"Belgium","Monday to Friday","Males","Employment, related activities and travel as part of/during main and second job","236"
"Belgium","Monday to Friday","Males","Main and second job and related travel","227"
"Belgium","Monday to Friday","Males","Activities related to employment and unspecified employment","9"
"Belgium","Monday to Friday","Males","Study","20"
"Belgium","Monday to Friday","Males","School and university except homework","11"
"Belgium","Monday to Friday","Males","Homework","6"
"Belgium","Monday to Friday","Males","Free time study","3"
"Belgium","Monday to Friday","Males","Household and family care","139"
"Belgium","Monday to Friday","Males","Food management except dish washing","20"
"Belgium","Monday to Friday","Males","Dish washing","11"
"Belgium","Monday to Friday","Males","Cleaning dwelling","6"
"Belgium","Monday to Friday","Males","Household upkeep except cleaning dwelling","17"
"Belgium","Monday to Friday","Males","Laundry","1"
"Belgium","Monday to Friday","Males","Ironing","2"
"Belgium","Monday to Friday","Males","Handicraft and producing textiles and other care for textiles","0"
"Belgium","Monday to Friday","Males","Gardening; other pet care","16"
"Belgium","Monday to Friday","Males","Tending domestic animals","2"
"Belgium","Monday to Friday","Males","Caring for pets","2"
"Belgium","Monday to Friday","Males","Walking the dog","5"
"Belgium","Monday to Friday","Males","Construction and repairs ","13"
"Belgium","Monday to Friday","Males","Shopping and services","25"
"Belgium","Monday to Friday","Males","Childcare, except teaching, reading and talking","8"
"Belgium","Monday to Friday","Males","Teaching, reading and talking with child","5"
"Belgium","Monday to Friday","Males","Household management and help family member","6"
"Belgium","Monday to Friday","Males","Leisure, social and associative life","332"
"Belgium","Monday to Friday","Males","Organisational work","4"
"Belgium","Monday to Friday","Males","Informal help to other households","4"
"Belgium","Monday to Friday","Males","Participatory activities","4"
"Belgium","Monday to Friday","Males","Visiting and feasts","21"
"Belgium","Monday to Friday","Males","Other social life","15"
"Belgium","Monday to Friday","Males","Entertainment and culture","11"
"Belgium","Monday to Friday","Males","Resting","24"
"Belgium","Monday to Friday","Males","Walking and hiking","7"
"Belgium","Monday to Friday","Males","Sports and outdoor activities except walking and hiking","16"
"Belgium","Monday to Friday","Males","Computer games","5"
"Belgium","Monday to Friday","Males","Computing","33"
"Belgium","Monday to Friday","Males","Hobbies and games except computing and computer games","16"
"Belgium","Monday to Friday","Males","Reading books","4"
"Belgium","Monday to Friday","Males","Reading, except books","16"
"Belgium","Monday to Friday","Males","TV and video","148"
"Belgium","Monday to Friday","Males","Radio and music","3"
"Belgium","Monday to Friday","Males","Unspecified leisure ","0"
"Belgium","Monday to Friday","Males","Travel except travel related to jobs","85"
"Belgium","Monday to Friday","Males","Travel to/from work","30"
"Belgium","Monday to Friday","Males","Travel related to study","2"
"Belgium","Monday to Friday","Males","Travel related to shopping and services","11"
"Belgium","Monday to Friday","Males","Transporting a child","2"
"Belgium","Monday to Friday","Males","Travel related to other household purposes","2"
"Belgium","Monday to Friday","Males","Travel related to leisure, social and associative life","33"
"Belgium","Monday to Friday","Males","Unspecified travel","2"
"Belgium","Monday to Friday","Males","Unspecified time use","4"
"Belgium","Monday to Friday","Females","Total","1440"
"Belgium","Monday to Friday","Females","Personal care","660"
"Belgium","Monday to Friday","Females","Sleep","505"
"Belgium","Monday to Friday","Females","Eating","99"
"Belgium","Monday to Friday","Females","Other and/or unspecified personal care","56"
"Belgium","Monday to Friday","Females","Employment, related activities and travel as part of/during main and second job","151"
"Belgium","Monday to Friday","Females","Main and second job and related travel","145"
"Belgium","Monday to Friday","Females","Activities related to employment and unspecified employment","6"
"Belgium","Monday to Friday","Females","Study","22"
"Belgium","Monday to Friday","Females","School and university except homework","12"
"Belgium","Monday to Friday","Females","Homework","7"
"Belgium","Monday to Friday","Females","Free time study","3"
"Belgium","Monday to Friday","Females","Household and family care","240"
"Belgium","Monday to Friday","Females","Food management except dish washing","49"
"Belgium","Monday to Friday","Females","Dish washing","22"
"Belgium","Monday to Friday","Females","Cleaning dwelling","21"
"Belgium","Monday to Friday","Females","Household upkeep except cleaning dwelling","34"
"Belgium","Monday to Friday","Females","Laundry","7"
"Belgium","Monday to Friday","Females","Ironing","16"
"Belgium","Monday to Friday","Females","Handicraft and producing textiles and other care for textiles","3"
"Belgium","Monday to Friday","Females","Gardening; other pet care","6"
"Belgium","Monday to Friday","Females","Tending domestic animals","1"
"Belgium","Monday to Friday","Females","Caring for pets","3"
"Belgium","Monday to Friday","Females","Walking the dog","4"
"Belgium","Monday to Friday","Females","Construction and repairs ","3"
"Belgium","Monday to Friday","Females","Shopping and services","37"
"Belgium","Monday to Friday","Females","Childcare, except teaching, reading and talking","20"
"Belgium","Monday to Friday","Females","Teaching, reading and talking with child","8"
"Belgium","Monday to Friday","Females","Household management and help family member","6"
"Belgium","Monday to Friday","Females","Leisure, social and associative life","285"
"Belgium","Monday to Friday","Females","Organisational work","2"
"Belgium","Monday to Friday","Females","Informal help to other households","5"
"Belgium","Monday to Friday","Females","Participatory activities","2"
"Belgium","Monday to Friday","Females","Visiting and feasts","26"
"Belgium","Monday to Friday","Females","Other social life","19"
"Belgium","Monday to Friday","Females","Entertainment and culture","9"
"Belgium","Monday to Friday","Females","Resting","23"
"Belgium","Monday to Friday","Females","Walking and hiking","8"
"Belgium","Monday to Friday","Females","Sports and outdoor activities except walking and hiking","6"
"Belgium","Monday to Friday","Females","Computer games","2"
"Belgium","Monday to Friday","Females","Computing","20"
"Belgium","Monday to Friday","Females","Hobbies and games except computing and computer games","13"
"Belgium","Monday to Friday","Females","Reading books","7"
"Belgium","Monday to Friday","Females","Reading, except books","13"
"Belgium","Monday to Friday","Females","TV and video","130"
"Belgium","Monday to Friday","Females","Radio and music","1"
"Belgium","Monday to Friday","Females","Unspecified leisure ","0"
"Belgium","Monday to Friday","Females","Travel except travel related to jobs","83"
"Belgium","Monday to Friday","Females","Travel to/from work","20"
"Belgium","Monday to Friday","Females","Travel related to study","4"
"Belgium","Monday to Friday","Females","Travel related to shopping and services","13"
"Belgium","Monday to Friday","Females","Transporting a child","3"
"Belgium","Monday to Friday","Females","Travel related to other household purposes","1"
"Belgium","Monday to Friday","Females","Travel related to leisure, social and associative life","35"
"Belgium","Monday to Friday","Females","Unspecified travel","1"
"Belgium","Monday to Friday","Females","Unspecified time use","5"
"Belgium","Saturday to Sunday","Total","Total","1440"
"Belgium","Saturday to Sunday","Total","Personal care","723"
"Belgium","Saturday to Sunday","Total","Sleep","545"
"Belgium","Saturday to Sunday","Total","Eating","123"
"Belgium","Saturday to Sunday","Total","Other and/or unspecified personal care","55"
"Belgium","Saturday to Sunday","Total","Employment, related activities and travel as part of/during main and second job","40"
"Belgium","Saturday to Sunday","Total","Main and second job and related travel","40"
"Belgium","Saturday to Sunday","Total","Activities related to employment and unspecified employment","1"
"Belgium","Saturday to Sunday","Total","Study","11"
"Belgium","Saturday to Sunday","Total","School and university except homework","2"
"Belgium","Saturday to Sunday","Total","Homework","7"
"Belgium","Saturday to Sunday","Total","Free time study","2"
"Belgium","Saturday to Sunday","Total","Household and family care","195"
"Belgium","Saturday to Sunday","Total","Food management except dish washing","34"
"Belgium","Saturday to Sunday","Total","Dish washing","18"
"Belgium","Saturday to Sunday","Total","Cleaning dwelling","11"
"Belgium","Saturday to Sunday","Total","Household upkeep except cleaning dwelling","29"
"Belgium","Saturday to Sunday","Total","Laundry","6"
"Belgium","Saturday to Sunday","Total","Ironing","8"
"Belgium","Saturday to Sunday","Total","Handicraft and producing textiles and other care for textiles","2"
"Belgium","Saturday to Sunday","Total","Gardening; other pet care","11"
"Belgium","Saturday to Sunday","Total","Tending domestic animals","2"
"Belgium","Saturday to Sunday","Total","Caring for pets","3"
"Belgium","Saturday to Sunday","Total","Walking the dog","5"
"Belgium","Saturday to Sunday","Total","Construction and repairs ","11"
"Belgium","Saturday to Sunday","Total","Shopping and services","33"
"Belgium","Saturday to Sunday","Total","Childcare, except teaching, reading and talking","11"
"Belgium","Saturday to Sunday","Total","Teaching, reading and talking with child","8"
"Belgium","Saturday to Sunday","Total","Household management and help family member","4"
"Belgium","Saturday to Sunday","Total","Leisure, social and associative life","397"
"Belgium","Saturday to Sunday","Total","Organisational work","4"
"Belgium","Saturday to Sunday","Total","Informal help to other households","4"
"Belgium","Saturday to Sunday","Total","Participatory activities","4"
"Belgium","Saturday to Sunday","Total","Visiting and feasts","55"
"Belgium","Saturday to Sunday","Total","Other social life","22"
"Belgium","Saturday to Sunday","Total","Entertainment and culture","26"
"Belgium","Saturday to Sunday","Total","Resting","27"
"Belgium","Saturday to Sunday","Total","Walking and hiking","12"
"Belgium","Saturday to Sunday","Total","Sports and outdoor activities except walking and hiking","16"
"Belgium","Saturday to Sunday","Total","Computer games","5"
"Belgium","Saturday to Sunday","Total","Computing","25"
"Belgium","Saturday to Sunday","Total","Hobbies and games except computing and computer games","15"
"Belgium","Saturday to Sunday","Total","Reading books","6"
"Belgium","Saturday to Sunday","Total","Reading, except books","14"
"Belgium","Saturday to Sunday","Total","TV and video","160"
"Belgium","Saturday to Sunday","Total","Radio and music","3"
"Belgium","Saturday to Sunday","Total","Unspecified leisure ","0"
"Belgium","Saturday to Sunday","Total","Travel except travel related to jobs","74"
"Belgium","Saturday to Sunday","Total","Travel to/from work","4"
"Belgium","Saturday to Sunday","Total","Travel related to study","0"
"Belgium","Saturday to Sunday","Total","Travel related to shopping and services","14"
"Belgium","Saturday to Sunday","Total","Transporting a child","1"
"Belgium","Saturday to Sunday","Total","Travel related to other household purposes","2"
"Belgium","Saturday to Sunday","Total","Travel related to leisure, social and associative life","47"
"Belgium","Saturday to Sunday","Total","Unspecified travel","1"
"Belgium","Saturday to Sunday","Total","Unspecified time use","5"
"Belgium","Saturday to Sunday","Males","Total","1440"
"Belgium","Saturday to Sunday","Males","Personal care","713"
"Belgium","Saturday to Sunday","Males","Sleep","540"
"Belgium","Saturday to Sunday","Males","Eating","123"
"Belgium","Saturday to Sunday","Males","Other and/or unspecified personal care","50"
"Belgium","Saturday to Sunday","Males","Employment, related activities and travel as part of/during main and second job","46"
"Belgium","Saturday to Sunday","Males","Main and second job and related travel","45"
"Belgium","Saturday to Sunday","Males","Activities related to employment and unspecified employment","1"
"Belgium","Saturday to Sunday","Males","Study","9"
"Belgium","Saturday to Sunday","Males","School and university except homework","2"
"Belgium","Saturday to Sunday","Males","Homework","5"
"Belgium","Saturday to Sunday","Males","Free time study","1"
"Belgium","Saturday to Sunday","Males","Household and family care","157"
"Belgium","Saturday to Sunday","Males","Food management except dish washing","20"
"Belgium","Saturday to Sunday","Males","Dish washing","13"
"Belgium","Saturday to Sunday","Males","Cleaning dwelling","6"
"Belgium","Saturday to Sunday","Males","Household upkeep except cleaning dwelling","21"
"Belgium","Saturday to Sunday","Males","Laundry","2"
"Belgium","Saturday to Sunday","Males","Ironing","2"
"Belgium","Saturday to Sunday","Males","Handicraft and producing textiles and other care for textiles","0"
"Belgium","Saturday to Sunday","Males","Gardening; other pet care","15"
"Belgium","Saturday to Sunday","Males","Tending domestic animals","3"
"Belgium","Saturday to Sunday","Males","Caring for pets","2"
"Belgium","Saturday to Sunday","Males","Walking the dog","5"
"Belgium","Saturday to Sunday","Males","Construction and repairs ","19"
"Belgium","Saturday to Sunday","Males","Shopping and services","30"
"Belgium","Saturday to Sunday","Males","Childcare, except teaching, reading and talking","7"
"Belgium","Saturday to Sunday","Males","Teaching, reading and talking with child","8"
"Belgium","Saturday to Sunday","Males","Household management and help family member","5"
"Belgium","Saturday to Sunday","Males","Leisure, social and associative life","439"
"Belgium","Saturday to Sunday","Males","Organisational work","5"
"Belgium","Saturday to Sunday","Males","Informal help to other households","5"
"Belgium","Saturday to Sunday","Males","Participatory activities","4"
"Belgium","Saturday to Sunday","Males","Visiting and feasts","52"
"Belgium","Saturday to Sunday","Males","Other social life","21"
"Belgium","Saturday to Sunday","Males","Entertainment and culture","31"
"Belgium","Saturday to Sunday","Males","Resting","28"
"Belgium","Saturday to Sunday","Males","Walking and hiking","12"
"Belgium","Saturday to Sunday","Males","Sports and outdoor activities except walking and hiking","24"
"Belgium","Saturday to Sunday","Males","Computer games","7"
"Belgium","Saturday to Sunday","Males","Computing","32"
"Belgium","Saturday to Sunday","Males","Hobbies and games except computing and computer games","17"
"Belgium","Saturday to Sunday","Males","Reading books","5"
"Belgium","Saturday to Sunday","Males","Reading, except books","15"
"Belgium","Saturday to Sunday","Males","TV and video","177"
"Belgium","Saturday to Sunday","Males","Radio and music","4"
"Belgium","Saturday to Sunday","Males","Unspecified leisure ","0"
"Belgium","Saturday to Sunday","Males","Travel except travel related to jobs","76"
"Belgium","Saturday to Sunday","Males","Travel to/from work","4"
"Belgium","Saturday to Sunday","Males","Travel related to study","1"
"Belgium","Saturday to Sunday","Males","Travel related to shopping and services","13"
"Belgium","Saturday to Sunday","Males","Transporting a child","1"
"Belgium","Saturday to Sunday","Males","Travel related to other household purposes","3"
"Belgium","Saturday to Sunday","Males","Travel related to leisure, social and associative life","48"
"Belgium","Saturday to Sunday","Males","Unspecified travel","2"
"Belgium","Saturday to Sunday","Males","Unspecified time use","6"
"Belgium","Saturday to Sunday","Females","Total","1440"
"Belgium","Saturday to Sunday","Females","Personal care","732"
"Belgium","Saturday to Sunday","Females","Sleep","549"
"Belgium","Saturday to Sunday","Females","Eating","123"
"Belgium","Saturday to Sunday","Females","Other and/or unspecified personal care","59"
"Belgium","Saturday to Sunday","Females","Employment, related activities and travel as part of/during main and second job","36"
"Belgium","Saturday to Sunday","Females","Main and second job and related travel","35"
"Belgium","Saturday to Sunday","Females","Activities related to employment and unspecified employment","1"
"Belgium","Saturday to Sunday","Females","Study","12"
"Belgium","Saturday to Sunday","Females","School and university except homework","2"
"Belgium","Saturday to Sunday","Females","Homework","8"
"Belgium","Saturday to Sunday","Females","Free time study","2"
"Belgium","Saturday to Sunday","Females","Household and family care","231"
"Belgium","Saturday to Sunday","Females","Food management except dish washing","47"
"Belgium","Saturday to Sunday","Females","Dish washing","22"
"Belgium","Saturday to Sunday","Females","Cleaning dwelling","16"
"Belgium","Saturday to Sunday","Females","Household upkeep except cleaning dwelling","35"
"Belgium","Saturday to Sunday","Females","Laundry","10"
"Belgium","Saturday to Sunday","Females","Ironing","14"
"Belgium","Saturday to Sunday","Females","Handicraft and producing textiles and other care for textiles","3"
"Belgium","Saturday to Sunday","Females","Gardening; other pet care","7"
"Belgium","Saturday to Sunday","Females","Tending domestic animals","2"
"Belgium","Saturday to Sunday","Females","Caring for pets","3"
"Belgium","Saturday to Sunday","Females","Walking the dog","4"
"Belgium","Saturday to Sunday","Females","Construction and repairs ","4"
"Belgium","Saturday to Sunday","Females","Shopping and services","36"
"Belgium","Saturday to Sunday","Females","Childcare, except teaching, reading and talking","14"
"Belgium","Saturday to Sunday","Females","Teaching, reading and talking with child","8"
"Belgium","Saturday to Sunday","Females","Household management and help family member","4"
"Belgium","Saturday to Sunday","Females","Leisure, social and associative life","357"
"Belgium","Saturday to Sunday","Females","Organisational work","2"
"Belgium","Saturday to Sunday","Females","Informal help to other households","3"
"Belgium","Saturday to Sunday","Females","Participatory activities","4"
"Belgium","Saturday to Sunday","Females","Visiting and feasts","56"
"Belgium","Saturday to Sunday","Females","Other social life","23"
"Belgium","Saturday to Sunday","Females","Entertainment and culture","22"
"Belgium","Saturday to Sunday","Females","Resting","26"
"Belgium","Saturday to Sunday","Females","Walking and hiking","12"
"Belgium","Saturday to Sunday","Females","Sports and outdoor activities except walking and hiking","9"
"Belgium","Saturday to Sunday","Females","Computer games","2"
